,created_time,id,message
70,2018-04-01T02:21:05+0000,10218552285255958_10215475722143803,Ir a tomar chelas y ganarte una estadía en un hotel 5 estrellas...
71,2018-03-21T01:06:40+0000,10218552285255958_10215366495133196,Ahí la explicación para 5 tacos en 10 pesitos
72,2018-03-17T20:50:47+0000,10218552285255958_10215335222711405,Cervefest!!
73,2018-03-15T21:37:09+0000,10218552285255958_10215317188580563,Nombre muy correcto para un insecto.
74,2018-03-14T15:42:08+0000,10218552285255958_10215304340259363,
75,2018-03-10T09:12:43+0000,10218552285255958_10215262364529996,
76,2018-03-10T08:49:08+0000,10218552285255958_10215262261807428,
77,2018-03-10T08:16:34+0000,10218552285255958_10215262125764027,
78,2018-03-10T08:01:42+0000,10218552285255958_10215262081362917,
79,2018-03-10T07:53:32+0000,10218552285255958_10215262024761502,
80,2018-03-10T07:48:51+0000,10218552285255958_10215262011601173,
81,2018-03-04T18:01:07+0000,10218552285255958_10215206938304375,
82,2018-03-02T22:39:54+0000,10218552285255958_10215189963160007,Casi soy feliz 🙄
83,2018-02-22T02:03:53+0000,10218552285255958_10215110406611143,"""El Efecto Dunning-Kruger es un sesgo cognitivo, según el cual los individuos con escasa habilidad o conocimientos sufren de un efecto de superioridad ilusorio, considerándose más inteligentes que otras personas más preparadas, incorrectamente midiendo su habilidad por encima de lo real""."
84,2018-02-15T17:51:55+0000,10218552285255958_10215053716233919,
85,2018-02-14T17:19:30+0000,10218552285255958_10215044537764463,🤔
86,2018-02-14T14:46:05+0000,10218552285255958_10215043352734838,Amor para todos ❤
87,2018-02-12T20:29:19+0000,10218552285255958_10215027601061056,Gente rara que le gusta la playa
88,2018-02-11T01:32:25+0000,10218552285255958_10215012569565278,Zihuatanejo...
89,2018-02-10T03:53:51+0000,10218552285255958_10215004544364653,
90,2018-02-03T21:10:30+0000,10218552285255958_10214951069667819,😊🛫🇨🇱
91,2018-02-03T19:22:31+0000,10218552285255958_10214950328289285,Cuando tengan un día malo en su trabajo sólo recuerden que el funcionario de migración del aeropuerto de México está timbrando a todos con el día equivocado.
92,2018-01-30T04:23:26+0000,10218552285255958_10214910751139881,Ah! . Era por eso!!. Debo ser menos pesado 😊
93,2018-01-30T03:10:56+0000,10218552285255958_10214910244207208,No tengo dinero ...ni nada que dar...Lo único que tengo es amor para dar
94,2018-01-28T04:33:04+0000,10218552285255958_10214891748504827,
95,2018-01-23T19:34:40+0000,10218552285255958_10214848562665208,
96,2017-12-24T20:54:40+0000,10218552285255958_10214594814641666,"Yo : por favor córteme para que no se noten las canas.

Peluquero: No se diga más.."
97,2017-12-13T01:11:09+0000,10218552285255958_10214498416991785,Cote !!! María José Bustos
